Energy (Kev)  Trasparenza

1.2    0.647764
1.3    0.678982
1.4    0.70339
1.5    0.722491
1.6    0.698375
1.7    0.714918
1.8    0.728792
1.9    0.740329
2.0    0.750089
2.2    0.765513
2.4    0.776921
2.6    0.785368
2.8    0.791941
3.0    0.796905
3.3    0.802324
3.6    0.806223
3.9    0.809047
4.2    0.811159
4.6    0.81323
5.0    0.8147
5.5    0.816002
5.6    0.816211
6.0    0.816919
7.0    0.818059
8.0    0.818705
9.0    0.819096
10.0   0.819346
10.5   0.8194
15.0   0.82
35.0   0.825
