 Energia (KeV)            Area (m^2) 
     0.0100000      16.5605
     0.0101617      16.5650
     0.0103261      16.5687
     0.0104931      16.5728
     0.0106628      16.5736
     0.0108353      16.5793    
     0.0110106      16.5818
     0.0111886      16.5793
     0.0113696      16.5756
     0.0115535      16.5710
     0.0117404      16.5654
     0.0119303      16.5629
     0.0121232      16.5615
     0.0123193      16.5628
     0.0125186      16.5736
     0.0127210      16.5870
     0.0129268      16.6022
     0.0131359      16.6225
     0.0133483      16.6417
     0.0135642      16.6574
     0.0137836      16.6721
     0.0140066      16.6865
     0.0142331      16.6997
     0.0144633      16.7098
     0.0146973      16.7166
     0.0149350      16.7214
     0.0151765      16.7235
     0.0154220      16.7220
     0.0156714      16.7190
     0.0159249      16.7125
     0.0161825      16.7038
     0.0164442      16.6943
     0.0167102      16.6810
     0.0169805      16.6686
     0.0172551      16.6514
     0.0175342      16.6299
     0.0178178      16.6076
     0.0181060      16.5876
     0.0183989      16.5673
     0.0186964      16.5507
     0.0189988      16.5378
     0.0193061      16.5445
     0.0196184      16.5617
     0.0199357      16.5825
     0.0202582      16.6101
     0.0205858      16.6442
     0.0209188      16.6844
     0.0212571      16.7248
     0.0216009      16.7665
     0.0219503      16.8091
     0.0223053      16.8499
     0.0226661      16.8879
     0.0230327      16.9215
     0.0234053      16.9417
     0.0237838      16.9468
     0.0241685      16.9490
     0.0245594      16.9488
     0.0249566      16.9452
     0.0253603      16.9377
     0.0257705      16.9281
     0.0261873      16.8912
     0.0266109      16.8874
     0.0270413      16.8659
     0.0274786      16.8556
     0.0279231      16.8449
     0.0283747      16.8389
     0.0288337      16.8337
     0.0293000      16.8378
     0.0297739      16.8551
     0.0302555      16.8812
     0.0307449      16.9117
     0.0312421      16.9468
     0.0317475      16.9864
     0.0322609      17.0157
     0.0327827      17.0356
     0.0333130      17.0449
     0.0338518      17.0457
     0.0343993      17.0423
     0.0349557      17.0373
     0.0355211      17.0337
     0.0360956      17.0307
     0.0366794      17.0292
     0.0372727      17.0273
     0.0378755      17.0247
     0.0384882      17.0236
     0.0391107      17.0232
     0.0397432      17.0234
     0.0403861      17.0217
     0.0410393      17.0182
     0.0417031      17.0121
     0.0423776      17.0079
     0.0430630      17.0059
     0.0437595      17.0103
