Energy (keV)      Area (cm^2)
    3.00000E-02   442.440
    7.00000E-02   476.568
    1.00000E-01   483.069
    0.120000      486.266
    0.160000      462.287
    0.200000      400.502
    0.240000      374.526
    0.280000      360.456
    0.320000      353.426
    0.360000      347.607
    0.400000      342.756
    0.450000      336.933
    0.500000      333.098
    0.550000      330.675
    0.600000      327.493
    0.650000      324.962 
    0.700000      324.583
    0.800000      324.281
    0.900000      323.604
    1.00000      324.158
    1.05000      324.819
    1.10000      326.101
    1.15000      326.589
    1.20000      326.381
    1.25000      325.890
    1.30000      325.272
    1.35000      324.398
    1.40000      323.230
    1.45000      321.819
    1.50000      320.214
    1.55000      318.443
    1.60000      316.240
    1.65000      313.662
    1.70000      310.657
    1.75000      307.150
    1.80000      303.096
    1.85000      298.202
    1.90000      292.151
    1.95000      284.627
    2.00000      274.525
    2.05000      260.813
    2.10000      239.842
    2.15000      83.4392
    2.20000      5.86242
    2.25000      63.8745
    2.30000      62.4560
    2.35000      80.9492
    2.40000      93.0290
    2.45000     100.4305
    2.50000      105.375
    2.60000      110.758
    2.70000      108.387
    2.80000     101.7533
    2.90000      107.684
    3.00000      109.429
    3.10000      107.700
    3.20000     102.6552
    3.40000     101.3236
    3.60000      96.9664
    3.80000      93.2133
    4.00000      88.2343
    4.20000      82.7536
    4.40000      77.0320
    4.60000      71.3063
    4.80000      65.6509
    5.00000      60.1718
    5.20000      54.8880
    5.40000      49.8247
    5.60000      45.0004
    5.80000      40.3989
    6.00000      36.0608
    6.20000      31.9470
    6.40000      28.0384
    6.60000      24.3803
    6.80000      20.9776
    7.00000      17.8370
    7.20000      14.9467
    7.40000      12.2829
    7.60000      9.86070
    7.80000      7.70881
    8.20000      4.23069
